"Sector","Estimated_mean","Subject_SD","Subject_CV","Eye_SD","Eye_CV","Imprecision_SD","Imprecision_CV","Difference_threshold_95","Eye_ICC","N_subjects","N_eyes","N_measurements"
"sector0",280.106250000003,0,0,9.63978949994023,3.44147604701435,2.12161495125968,0.757432206978481,5.88081661088175,0.953798642783207,8,16,48
"sector1",282.545833333348,5.20101840835211e-05,1.84076981316371e-05,11.6138240424846,4.11042127412391,1.84701333555753,0.65370397211925,5.11965976569768,0.97533155059872,8,16,48
"sector2",276.729166666699,8.14080498192892,2.94179506988288,8.17264224097131,2.95329991392439,1.35569784834884,0.489900600171173,3.75780271588532,0.986375983528481,8,16,48
"sector3",279.937500000009,5.52986363701403,1.9753922347002,5.37747346940446,1.92095502367646,1.70794713488697,0.610117306501244,4.73418792386791,0.953262126834296,8,16,48
"sector4",279.483333333331,5.17564602815971,1.85186213661867,9.02215267414365,3.22815409653899,1.81550037770545,0.649591643284203,5.03231030302327,0.970434472743447,8,16,48
"sector5",281.831250000024,3.238061362813,1.14893623855152,9.34192711407481,3.3147236561148,1.48688713518012,0.527580648058013,4.12144086648802,0.977884473828014,8,16,48
"sector6",276.131249999995,0,0,6.84345193862431,2.47833301686225,1.53765242318566,0.556855634118084,4.26215506572664,0.951940872198938,8,16,48
"sector7",277.262500000006,8.19385366469132,2.95526934392179,7.65308575451222,2.76023110031542,2.06710344794855,0.745540218366532,5.72971843259738,0.967126827274414,8,16,48
"sector8",280.062500000009,0,0,10.5305177452805,3.76005989565905,1.73156958773672,0.618279701044111,4.79966602253331,0.973673460140269,8,16,48
"sector9",282.658333333366,8.06001314309668,2.85150380958015,8.32096208272698,2.94382337311573,1.72100986342395,0.608865779093871,4.77039596007075,0.978406339420284,8,16,48
"sector10",281.020833333336,5.51977725370921,1.96418791739965,5.90949100430696,2.10286580329699,2.09005584050626,0.743736973417594,5.79333921889166,0.93737906790912,8,16,48
"sector11",279.214583333343,0,0,13.5970486335704,4.86974873276495,1.60870029405444,0.576151959847266,4.45908971634493,0.986195396052501,8,16,48
"sector12",278.85416666667,6.27576883840235,2.25055587779835,8.04364786918498,2.88453565723478,1.50166577604903,0.538512941728446,4.1624051690145,0.978794540793705,8,16,48
